1.055821 99.951681 0.092644 0.032755
1.144231 97.655624 0.046605 0.011303
1.233139 96.050041 0.030001 0.006708
1.322357 94.862208 0.043545 0.006801
1.411669 93.888939 0.035875 0.005471
1.502038 93.548577 0.027294 0.004428
1.595183 94.511172 0.037734 0.005088
1.689092 95.713502 0.039261 0.005111
1.783306 96.935785 0.040100 0.005093
1.877815 98.175288 0.045994 0.005383
1.972607 99.428030 0.050591 0.005587
2.067666 100.688864 0.064765 0.006261
2.162990 101.958824 0.053984 0.005659
2.258573 103.238451 0.065765 0.006187
2.354405 104.526020 0.052649 0.005489
2.450473 105.818328 0.062668 0.005948
2.546755 107.111210 0.067627 0.006148
2.643235 108.401136 0.064357 0.005975
2.739896 109.685632 0.066212 0.006044
2.836728 110.963270 0.067587 0.006094
2.933716 112.232832 0.055895 0.005534
3.030849 113.493000 0.076082 0.006453
3.128114 114.742302 0.073378 0.006339
3.225498 115.979264 0.070785 0.006232
3.322988 117.202567 0.067730 0.006107
3.420574 118.411104 0.060868 0.005804
3.518243 119.603877 0.076832 0.006540
3.615986 120.780033 0.074594 0.006468
3.713794 121.938894 0.072963 0.006424
3.811658 123.079832 0.072516 0.006435
3.909567 124.202300 0.087708 0.007114
4.007516 125.305806 0.070045 0.006394
4.105496 126.389899 0.094567 0.007476
4.203502 127.454219 0.071282 0.006534
4.301526 128.498457 0.061368 0.006106
4.399561 129.522417 0.051812 0.005653
4.497605 130.525990 0.044489 0.005280
4.595650 131.509101 0.049683 0.005625
4.693694 132.471818 0.053774 0.005902
4.791732 133.414192 0.046814 0.005556
4.889763 134.336362 0.047667 0.005657
4.987781 135.238478 0.044455 0.005514
5.085785 136.120718 0.050884 0.005956
5.183773 136.983304 0.052591 0.006114
5.281741 137.826443 0.060893 0.006644
5.379690 138.650410 0.064353 0.006899
5.477616 139.455441 0.064176 0.006961
5.575519 140.241899 0.083256 0.008011
5.673398 141.010021 0.069284 0.007386
5.771251 141.760136 0.061931 0.007058
5.869079 142.492622 0.057530 0.006876
5.966879 143.207747 0.063838 0.007323
6.064652 143.905880 0.055813 0.006923
