 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> October 17, 2017 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Methane (gas)

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  3.8175E-04 g/cm3 = 7.1648E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    080.00    025.13   
      C      6    020.00    074.87   
 ====================================
 Bragg Correction = 0.48%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
499.999 eV    2.144E-01  7.991E-02   32.15 um    16.42 um    13.51 um  
549.999 eV    2.249E-01  7.676E-02   35.13 um    17.55 um    14.54 um  
599.999 eV    2.349E-01  7.389E-02   38.07 um    18.63 um    15.52 um  
649.999 eV    2.445E-01  7.128E-02   40.99 um    19.67 um    16.48 um  
699.999 eV    2.537E-01  6.889E-02   43.88 um    20.66 um    17.41 um  
799.999 eV    2.712E-01  6.464E-02   49.59 um    22.53 um    19.19 um  
899.999 eV    2.877E-01  6.098E-02   55.19 um    24.27 um    20.87 um  
999.999 eV    3.033E-01  5.779E-02   60.68 um    25.88 um    22.47 um  
   1.10 keV   3.181E-01  5.497E-02   66.08 um    27.39 um    23.98 um  
   1.20 keV   3.322E-01  5.247E-02   71.38 um    28.80 um    25.42 um  
   1.30 keV   3.458E-01  5.022E-02   76.60 um    30.12 um    26.80 um  
   1.40 keV   3.588E-01  4.819E-02   81.73 um    31.37 um    28.12 um  
   1.50 keV   3.714E-01  4.635E-02   86.77 um    32.55 um    29.38 um  
   1.60 keV   3.836E-01  4.466E-02   91.74 um    33.67 um    30.59 um  
   1.70 keV   3.954E-01  4.312E-02   96.63 um    34.73 um    31.75 um  
   1.80 keV   4.069E-01  4.169E-02  101.45 um    35.73 um    32.87 um  
   2.00 keV   4.289E-01  3.915E-02  110.89 um    37.60 um    34.99 um  
   2.25 keV   4.538E-01  3.644E-02  122.34 um    39.72 um    37.45 um  
   2.50 keV   4.773E-01  3.413E-02  133.44 um    41.62 um    39.72 um  
   2.75 keV   4.996E-01  3.214E-02  144.24 um    43.35 um    41.83 um  
   3.00 keV   5.208E-01  3.040E-02  154.74 um    44.93 um    43.80 um  
   3.25 keV   5.411E-01  2.886E-02  164.98 um    46.38 um    45.65 um  
   3.50 keV   5.606E-01  2.749E-02  174.97 um    47.72 um    47.39 um  
   3.75 keV   5.793E-01  2.626E-02  184.73 um    48.96 um    49.03 um  
   4.00 keV   5.974E-01  2.515E-02  194.28 um    50.11 um    50.59 um  
   4.50 keV   6.318E-01  2.323E-02  212.80 um    52.22 um    53.47 um  
   5.00 keV   6.641E-01  2.161E-02  230.60 um    54.08 um    56.08 um  
   5.50 keV   6.947E-01  2.023E-02  247.78 um    55.74 um    58.48 um  
   6.00 keV   7.237E-01  1.903E-02  264.41 um    57.23 um    60.69 um  
   6.50 keV   7.513E-01  1.798E-02  280.52 um    58.58 um    62.73 um  
   7.00 keV   7.776E-01  1.706E-02  296.18 um    59.82 um    64.64 um  
   8.00 keV   8.270E-01  1.550E-02  326.29 um    62.05 um    68.09 um  
   9.00 keV   8.726E-01  1.422E-02  354.99 um    63.97 um    71.16 um  
  10.00 keV   9.150E-01  1.316E-02  382.49 um    65.64 um    73.91 um  
  11.00 keV   9.545E-01  1.226E-02  408.96 um    67.12 um    76.41 um  
  12.00 keV   9.914E-01  1.149E-02  434.51 um    68.44 um    78.69 um  
  13.00 keV   1.026E+00  1.082E-02  459.27 um    69.64 um    80.79 um  
  14.00 keV   1.059E+00  1.023E-02  483.32 um    70.72 um    82.74 um  
  15.00 keV   1.089E+00  9.710E-03  506.74 um    71.71 um    84.55 um  
  16.00 keV   1.118E+00  9.243E-03  529.59 um    72.62 um    86.25 um  
  17.00 keV   1.145E+00  8.823E-03  551.93 um    73.47 um    87.85 um  
  18.00 keV   1.171E+00  8.443E-03  573.81 um    74.26 um    89.35 um  
  20.00 keV   1.218E+00  7.782E-03  616.34 um    75.80 um    92.13 um  
  22.50 keV   1.271E+00  7.100E-03  667.56 um    77.56 um    95.25 um  
  25.00 keV   1.316E+00  6.537E-03  717.00 um    79.11 um    98.06 um  
  27.50 keV   1.355E+00  6.063E-03  764.98 um    80.50 um   100.61 um  
  30.00 keV   1.390E+00  5.659E-03  811.77 um    81.76 um   102.96 um  
  32.50 keV   1.420E+00  5.310E-03  857.56 um    82.92 um   105.15 um  
  35.00 keV   1.446E+00  5.005E-03  902.52 um    83.99 um   107.19 um  
  37.50 keV   1.468E+00  4.735E-03  946.80 um    84.99 um   109.12 um  
  40.00 keV   1.487E+00  4.496E-03  990.50 um    85.93 um   110.94 um  
  45.00 keV   1.516E+00  4.088E-03    1.08 mm    88.09 um   114.34 um  
  50.00 keV   1.536E+00  3.753E-03    1.16 mm    90.08 um   117.48 um  
