0 0 5 6.049191306171733 211.74974891903094
0 1 12 6.0617931420247935 189.1290803192769
0 2 18 6.091131170467544 192.91091303836856
0 3 25 6.101113239139912 185.88216599524276
1 0 31 6.089142102295981 187.21344226713063
1 1 37 6.160855578786141 169.55822076903587
1 2 43 6.160808669081954 166.84041280956717
1 3 50 6.14736462532212 177.33548893771695
2 0 54 7.469970737994211 399.32621632310384
2 1 59 7.60377326108574 390.53834801240464
2 2 63 7.6094353496435 411.447211441302
2 3 67 7.434239281264545 405.7809439979119
3 0 23 7.532428305558488 393.4178575020833
3 1 3 7.5686583803512475 389.8054217867939
3 2 9 7.628477749260612 404.16721308921024
3 3 16 7.534947228729822 391.29993761644073
4 0 29 8.050961361374055 178.55004824239404
4 1 35 8.106657849054415 180.46250132705973
4 2 41 8.108723074501423 175.1694969055343
4 3 48 8.029538865103362 162.7520606182934
5 0 52 8.179737785539984 155.03092991480025
5 1 57 8.25153357521528 163.81260373622536
5 2 61 8.213740366750063 169.1497625700431
5 3 65 8.164271750843145 151.57599260943243
6 0 1 7.49660721676769 468.4770063711794
6 1 7 7.530636221595359 482.6416319331456
6 2 14 7.490931225924871 476.8229994030271
6 3 20 7.472400057287094 449.0255796210595
7 1 27 7.4843681067205505 422.62411482115294
7 2 33 7.585181338351836 432.95443210705344
7 3 39 7.611422317432129 383.65232257068965
9 0 30 7.725361350145589 213.83224884098763
9 1 36 7.840051406980912 203.79539958986607
9 2 42 7.741825621774033 202.56192421197466
9 3 49 7.761441432362473 185.89338336065794
10 0 5 10.12696299515535 616.6254055828467
10 2 18 10.266218100241275 596.4521869360633
11 0 50 7.258702768636986 560.965616601693
11 1 31 7.322926177339289 549.1569440800695
11 2 37 7.379690248776478 549.2846189387828
11 3 43 7.435688447952086 562.2351981929905
12 0 54 8.065832252830349 522.3066742842338
12 1 59 7.827884336713154 529.8598964594048
12 2 63 7.76242998362531 511.02882849373964
12 3 67 7.75550087457538 510.8232974720204
13 0 23 8.934854573621228 520.5267871256201
13 3 16 9.081954619016383 516.513195265542
14 0 29 8.820116258423003 520.2410396008227
14 1 35 9.184601631675116 511.75912407638316
14 2 41 12.20593739222407 456.01316367851086
14 3 48 9.77114373821236 484.17812024056093
15 0 65 7.276785596184469 286.625766956392
15 1 52 7.297169544982251 276.8328895239001
15 2 57 7.389885145431563 269.94373112492576
15 3 61 7.369763559099279 294.0617479008779
