0 0 0.000000
0 1 0.000000
0 2 0.000000
0 3 0.000000
0 4 0.000000
0 5 0.000000
1 0 0.000000
1 1 0.000000
1 2 0.000000
1 3 0.000000
1 4 0.000000
1 5 0.000000
2 0 0.734618
2 1 0.772092
2 2 0.779104
2 3 0.792796
2 4 0.783257
2 5 0.771248
3 0 0.782942
3 1 0.809335
3 2 0.811681
3 3 0.820627
3 4 0.806894
3 5 0.808064
4 0 0.789782
4 1 0.846055
4 2 0.857279
4 3 0.833992
4 4 0.826390
4 5 0.865974
5 0 0.824421
5 1 0.851758
5 2 0.867768
5 3 0.856083
5 4 0.816600
5 5 0.846866
6 0 0.823613
6 1 0.858343
6 2 0.859436
6 3 0.872616
6 4 0.865090
6 5 0.835403
7 0 0.825573
7 1 0.849051
7 2 0.852723
7 3 0.859481
7 4 0.858990
7 5 0.862544
8 0 0.831530
8 1 0.831550
8 2 0.855900
8 3 0.856608
8 4 0.841275
8 5 0.848993
9 0 0.833064
9 1 0.846890
9 2 0.856823
9 3 0.874674
9 4 0.848173
9 5 0.868618
10 0 0.818929
10 1 0.853001
10 2 0.870173
10 3 0.859077
10 4 0.857865
10 5 0.843414
11 0 0.840971
11 1 0.862935
11 2 0.882792
11 3 0.881383
11 4 0.889307
11 5 0.865699
12 0 0.864473
12 1 0.867588
12 2 0.881864
12 3 0.868317
12 4 0.899481
12 5 0.890944
13 0 0.869761
13 1 0.885953
13 2 0.898362
13 3 0.864111
13 4 0.897629
13 5 0.933033
14 0 0.858589
14 1 0.870178
14 2 0.871834
14 3 0.884799
14 4 0.893289
14 5 0.898784
15 0 0.868455
15 1 0.873182
15 2 0.885035
15 3 0.884234
15 4 0.888443
15 5 0.915297
16 0 0.895499
16 1 0.879283
16 2 0.933552
16 3 0.903544
16 4 0.919335
16 5 0.917839
17 0 0.891224
17 1 0.893590
17 2 0.930355
17 3 0.898952
17 4 0.936549
17 5 0.936769
18 0 0.898448
18 1 0.907292
18 2 0.909965
18 3 0.898694
18 4 0.937151
