 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> October 17, 2017 
 ==================================================================

 Disk File Name = SRIM Outputs\Boron in Methane (gas)

 Ion = Boron [5] , Mass = 8 amu

 Target Density =  3.8175E-04 g/cm3 = 7.1648E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    080.00    025.13   
      C      6    020.00    074.87   
 ====================================
 Bragg Correction = 11.07%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
549.999 eV    3.392E-01  1.204E+00    9.86 um     3.98 um     3.01 um  
599.999 eV    3.543E-01  1.216E+00   10.51 um     4.20 um     3.18 um  
649.999 eV    3.687E-01  1.226E+00   11.15 um     4.42 um     3.35 um  
699.999 eV    3.827E-01  1.234E+00   11.78 um     4.64 um     3.52 um  
799.999 eV    4.091E-01  1.247E+00   13.02 um     5.06 um     3.84 um  
899.999 eV    4.339E-01  1.255E+00   14.25 um     5.46 um     4.15 um  
999.999 eV    4.574E-01  1.261E+00   15.46 um     5.86 um     4.45 um  
   1.10 keV   4.797E-01  1.264E+00   16.66 um     6.25 um     4.75 um  
   1.20 keV   5.010E-01  1.265E+00   17.85 um     6.63 um     5.04 um  
   1.30 keV   5.215E-01  1.265E+00   19.03 um     7.00 um     5.32 um  
   1.40 keV   5.412E-01  1.263E+00   20.20 um     7.37 um     5.60 um  
   1.50 keV   5.601E-01  1.261E+00   21.36 um     7.73 um     5.87 um  
   1.60 keV   5.785E-01  1.257E+00   22.52 um     8.09 um     6.14 um  
   1.70 keV   5.963E-01  1.253E+00   23.67 um     8.44 um     6.41 um  
   1.80 keV   6.136E-01  1.249E+00   24.82 um     8.78 um     6.67 um  
   2.00 keV   6.468E-01  1.239E+00   27.10 um     9.46 um     7.19 um  
   2.25 keV   6.860E-01  1.225E+00   29.93 um    10.29 um     7.82 um  
   2.50 keV   7.231E-01  1.209E+00   32.75 um    11.10 um     8.44 um  
   2.75 keV   7.584E-01  1.193E+00   35.55 um    11.89 um     9.04 um  
   3.00 keV   7.922E-01  1.177E+00   38.34 um    12.66 um     9.63 um  
   3.25 keV   8.245E-01  1.161E+00   41.11 um    13.41 um    10.22 um  
   3.50 keV   8.556E-01  1.145E+00   43.88 um    14.14 um    10.79 um  
   3.75 keV   8.856E-01  1.129E+00   46.63 um    14.86 um    11.35 um  
   4.00 keV   9.147E-01  1.114E+00   49.38 um    15.57 um    11.91 um  
   4.50 keV   9.702E-01  1.083E+00   54.85 um    16.95 um    13.00 um  
   5.00 keV   1.023E+00  1.054E+00   60.29 um    18.28 um    14.07 um  
   5.50 keV   1.073E+00  1.027E+00   65.70 um    19.56 um    15.11 um  
   6.00 keV   1.120E+00  1.001E+00   71.08 um    20.79 um    16.14 um  
   6.50 keV   1.166E+00  9.762E-01   76.43 um    21.99 um    17.14 um  
   7.00 keV   1.210E+00  9.528E-01   81.75 um    23.15 um    18.13 um  
   8.00 keV   1.294E+00  9.097E-01   92.30 um    25.37 um    20.04 um  
   9.00 keV   1.372E+00  8.708E-01  102.73 um    27.46 um    21.90 um  
  10.00 keV   1.446E+00  8.356E-01  113.04 um    29.43 um    23.69 um  
  11.00 keV   1.517E+00  8.035E-01  123.23 um    31.30 um    25.43 um  
  12.00 keV   1.584E+00  7.743E-01  133.31 um    33.07 um    27.11 um  
  13.00 keV   1.649E+00  7.474E-01  143.26 um    34.75 um    28.75 um  
  14.00 keV   1.711E+00  7.227E-01  153.10 um    36.34 um    30.33 um  
  15.00 keV   1.771E+00  6.998E-01  162.82 um    37.86 um    31.87 um  
  16.00 keV   1.829E+00  6.785E-01  172.43 um    39.32 um    33.37 um  
  17.00 keV   1.860E+00  6.588E-01  181.98 um    40.72 um    34.83 um  
  18.00 keV   1.896E+00  6.403E-01  191.51 um    42.07 um    36.26 um  
  20.00 keV   1.980E+00  6.069E-01  210.38 um    44.68 um    39.01 um  
  22.50 keV   2.091E+00  5.704E-01  233.53 um    47.71 um    42.29 um  
  25.00 keV   2.200E+00  5.387E-01  256.13 um    50.47 um    45.39 um  
  27.50 keV   2.303E+00  5.109E-01  278.22 um    53.00 um    48.33 um  
  30.00 keV   2.398E+00  4.862E-01  299.82 um    55.34 um    51.11 um  
  32.50 keV   2.486E+00  4.642E-01  320.99 um    57.51 um    53.76 um  
  35.00 keV   2.567E+00  4.444E-01  341.77 um    59.54 um    56.29 um  
  37.50 keV   2.642E+00  4.264E-01  362.20 um    61.44 um    58.71 um  
  40.00 keV   2.711E+00  4.100E-01  382.33 um    63.24 um    61.03 um  
  45.00 keV   2.834E+00  3.813E-01  421.78 um    66.65 um    65.40 um  
  50.00 keV   2.941E+00  3.569E-01  460.31 um    69.74 um    69.47 um  
  55.00 keV   3.036E+00  3.358E-01  498.06 um    72.57 um    73.28 um  
  60.00 keV   3.121E+00  3.174E-01  535.13 um    75.19 um    76.88 um  
  65.00 keV   3.198E+00  3.011E-01  571.61 um    77.63 um    80.28 um  
  70.00 keV   3.269E+00  2.866E-01  607.56 um    79.91 um    83.52 um  
  80.00 keV   3.395E+00  2.620E-01  678.07 um    84.35 um    89.56 um  
  90.00 keV   3.508E+00  2.417E-01  746.94 um    88.33 um    95.13 um  
 100.00 keV   3.611E+00  2.246E-01  814.35 um    91.95 um   100.31 um  
 110.00 keV   3.708E+00  2.101E-01  880.42 um    95.25 um   105.14 um  
 120.00 keV   3.802E+00  1.975E-01  945.24 um    98.30 um   109.68 um  
 130.00 keV   3.894E+00  1.865E-01    1.01 mm   101.11 um   113.96 um  
